Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Qtrly Revenue Growth,Gross Profit,EBITDA,Net Income Avl to Common,Diluted EPS,Qtrly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short (as of,Short Ratio,Short % of Float,Shares Short (prior month)
2007-04-12 5:07,1176325671,a,23.487183,-13.59,115.697647,-6,13970000000,12500000000,4.62,16.1,1.13,2.77,3.87,2.51,7.275,66.5,11.12,13.7,37.19,4970000000,11.538,-21,2660000000,1720000000,1440000000,7.5,496,2260000000,5.556,1500000000,0.411,2.573,9.03,634000000,1010000000,2.75,32.73,33.26,2840540,403650000,401570000,6.26,72,5910000,2.8,1.5,5150000
2008-02-14 4:44,1202935474,a,21.244215,-41.44,109.667633,-37.3,12140000000,12090000000,20.8,13.34,1.02,2.18,3.64,2.23,14.966,11.77,11.38,5.17,18.54,5420000000,13.756,8.9,2970000000,808000000,638000000,1.57,20.8,1830000000,4.916,2090000000,0.645,2.207,8.741,969000000,341750000,1.45,34.62,36.02,2983550,371470000,365900000,1.49,72.5,4890000,1.7,1.3,3640000
2008-12-06 19:21,1228562493,a,11.625716,73,72.4692,29.52,6040000000,6740000000,9.24,7.64,0.64,1.06,2.4,1.17,6.764,12,13.77,6.63,23.93,5770000000,15.906,2.4,2970000000,996000000,693000000,1.87,28.3,1430000000,4.083,2130000000,0.83,2.421,7.311,756000000,195000000,1.33,20.28,30.55,3241510,350000000,340890000,1.59,75.9,4340000,1.6,1.2,4420000
2013-09-06 6:09,1378418992,a,32.449276,23.26,151.664505,23.5,15780000000,15860000000,17.74,15.09,2.16,2.32,3.31,2.32,11.93,13.73,14.04,5.98,19.41,6830000000,19.8,-4.1,3600000000,1330000000,938000000,2.69,-30.9,2330000000,7.04,2700000000,56.39,2.96,14.46,1260000000,817000000,1.81,46.54,44.09,2615100,331000000,330030000,0.23,83.5,2780000,1.2,0.8,3300000
2006-08-19 10:42,1155955321,a,20.181709,12.91,103.081429,12.76,13540000000,12260000000,4.63,17.01,1.21,2.54,3.38,2.18,17.215,56.57,8.99,4.54,34.26,5630000000,12.408,-13.9,2520000000,712000000,1330000000,6.87,118.3,2250000000,5.499,1500000000,0.396,2.513,9.563,652000000,1200000000,2.76,29.27,34.2,3040930,425820000,403440000,6.24,72.7,7350000,2.5,1.8,9340000
2013-05-14 0:28,1368462538,a,29.998304,28.27,150.130219,16.73,14940000000,15060000000,13.75,13.08,2.07,2.19,2.83,2.18,10.75,15.96,15.69,6.85,22.38,6900000000,19.85,2.8,3600000000,1400000000,1100000000,3.13,-22.2,2450000000,7.06,2360000000,44.12,2.55,15.41,1320000000,737380000,1.66,42.08,41.25,3715590,347160000,346140000,0.23,83.2,4370000,1.2,1.3,3080000
2005-01-22 5:17,1106342239,a,13.835259,57.11,89.758362,9.77,10710000000,9760000000,30.7,14.34,1.51,1.52,3.04,1.36,14.4,4.86,5.38,5.26,10.92,7180000000,14.61,N/A,3120000000,678000000,349000000,0.71,N/A,2320000000,4.71,1150000000,0.322,2.446,7.329,N/A,N/A,2.166,23.71,24.72,2459863,491070000,441400000,10.12,67.08,7040000,2.385,1.6,6930000
2011-11-08 5:04,1320699856,a,26.100613,-2.29,112.456322,11.6,13100000000,12170000000,13.17,12.06,0.66,1.98,3.06,1.88,9.42,15.71,16.01,7.25,28.96,6460000000,18.67,22.2,2930000000,1290000000,1020000000,2.87,61,3100000000,8.93,2170000000,51.62,3.47,12.07,1120000000,2060000000,1.61,34.16,41.68,6018540,347210000,344790000,0.25,82.1,4500000,0.8,N/A,4140000
2009-08-02 5:46,1249163184,a,15.64016,24.12,83.151909,16.3,7970000000,8710000000,22.83,18.73,3.04,1.53,3.29,1.68,11.422,7.01,11.21,5.1,13.02,5180000000,14.659,-25.1,3200000000,763000000,363000000,1.02,N/A,1410000000,4.112,2150000000,N/A,2.623,7.045,581000000,2110000000,1.25,20.28,17.9,3161780,343350000,342220000,0.26,78.6,9890000,3.2,2.9,8440000
2004-12-13 21:37,1102945054,a,15.129939,50.92,92.082664,7.57,11610000000,10370000000,33.58,15.79,1.62,1.61,3.24,1.44,15.3,4.86,5.38,5.26,10.92,7180000000,14.61,N/A,2290000000,678000000,349000000,0.71,N/A,2320000000,4.75,1150000000,0.323,2.441,7.32,N/A,N/A,2.547,23.64,25.64,2780227,487000000,389600000,20,66.68,6930000,2.638,1.78,6540000
2008-04-26 4:49,1209156563,a,21.237478,-46.4,113.822563,-36.29,11510000000,12080000000,20.59,13.03,1,2.07,3.65,2.18,14.748,10.99,11.3,5.33,17.8,5530000000,14.362,8.8,2970000000,819000000,608000000,1.53,-20,1560000000,4.265,2130000000,0.67,1.896,8.622,880000000,-1680000000,1.46,30.42,33.98,2972050,365040000,358100000,4.68,68.3,5420000,2.1,1.5,0
2011-08-02 6:45,1312238737,a,26.22859,-1.47,109.78656,11.97,14200000000,13850000000,16.18,12.44,0.63,2.38,3.71,2.25,11.89,14.46,14.8,6.94,27,6160000000,17.77,31.9,2930000000,1160000000,890000000,2.52,85.2,2980000000,8.55,2150000000,54.36,3.2,11.36,961000000,1930000000,1.55,47.83,46.32,3825080,348040000,345630000,0.25,82.1,4360000,1.2,1.4,5420000
2008-01-23 19:28,1201087730,a,22.517252,-43.46,108.604774,-36.69,11950000000,12460000000,20.47,13.07,1.04,2.25,3.76,2.3,15.421,11.77,11.38,5.17,18.54,5420000000,13.756,8.9,2970000000,808000000,638000000,1.57,20.8,1830000000,4.916,2090000000,0.645,2.207,8.741,969000000,341750000,1.55,36.33,36.75,2459290,371470000,371230000,1.49,73.8,3640000,1.9,1,3510000
2006-01-09 2:35,1136745316,a,21.926983,4.47,100.719551,11.58,17120000000,14870000000,52.82,19.69,1.81,3.31,4.26,2.89,35.665,6.38,3.58,1.68,3.69,5140000000,10.403,-22.8,3120000000,417000000,141000000,0.66,-64.9,2250000000,4.555,0,0,2.169,8.095,890000000,-250000000,N/A,34.92,30.86,3843670,494180000,N/A,0.57,70.4,10980000,2.3,2.2,5840000
2004-01-30 19:01,1075460462,a,23.393015,-41.37,85.583038,5.46,17450000000,16520000000,N/A,25.83,3.84,2.8,6.01,2.73,N/A,-29.56,-11.97,-24.95,-47.81,6060000000,12.803,N/A,2290000000,-363000000,-1790000000,-3.774,N/A,1610000000,3.37,1150000000,0.407,2.04,5.93,N/A,N/A,2.474,29.47,23.24,2989323,476150000,428500000,10.01,63.03,9300000,3.923,2.17,6930000
